property_type,floor,residence_status,registration_status,area_sqft,bedrooms,bathrooms,swimming_pool,parking_space,furnished,furniture_available,locality_score,access_main_road,shopping_complex,local_market,previous_price,price,future_trend
Apartment,29,Non-Residence,Registrable,280422,10,5,1,3,1,1,1,0,1,0,15326328,15176883,Down
House,1,Residence,Registrable,701101,10,6,1,0,1,1,10,1,1,1,36222378,36102716,Down
Building,16,Non-Residence,Documented,42729,13,7,1,9,0,1,8,0,0,1,3673192,3538248,Down
Flat,25,Non-Residence,Documented,87152,4,4,1,7,0,1,8,0,0,1,5547090,5416691,Down
Empty Land,0,Non-Residence,Documented,249974,4,8,0,0,0,1,7,0,0,0,13223587,13160003,Down
Villa,0,Residence,Documented,704224,7,6,0,7,1,1,6,0,0,1,36120694,36047303,Down
House,2,Residence,Documented,260616,10,1,1,6,1,0,4,1,1,1,14085219,13949843,Down
Flat,2,Residence,Registrable,521485,11,1,0,8,0,1,1,0,1,1,27002060,26915095,Down
House,3,Non-Residence,Registrable,20475,11,9,1,7,0,0,9,1,0,0,2373896,2232689,Down
Farm House,0,Residence,Registrable,158295,9,6,1,4,1,1,1,1,1,0,8920889,8858792,Down
Empty Land,0,Residence,Documented,416995,9,8,1,7,0,0,4,0,1,1,21967759,21898920,Down
Building,6,Residence,Documented,209873,5,7,1,9,0,0,3,1,1,1,11519095,11385785,Down
Farm House,0,Residence,Registrable,197633,10,6,0,2,0,0,7,0,1,1,10831291,10743598,Down
Building,19,Residence,Documented,705013,1,4,1,9,1,1,5,1,1,0,36305218,36203230,Down
Apartment,28,Residence,Registrable,295786,1,7,0,6,1,0,5,1,0,0,15810550,15710781,Down
Flat,18,Non-Residence,Registrable,589112,6,9,1,3,0,0,4,0,0,1,30542825,30490356,Down
Empty Land,0,Non-Residence,Registrable,176537,2,7,1,4,1,1,1,0,1,1,9568722,9506254,Down
Villa,0,Residence,Documented,388576,8,1,1,8,0,0,5,1,1,0,20275414,20186389,Down
Villa,0,Non-Residence,Documented,660508,13,9,1,6,0,0,4,0,0,0,34274132,34220967,Down
Building,5,Residence,Registrable,690993,9,4,0,3,1,1,10,0,0,1,35551948,35444345,Down
Farm House,0,Non-Residence,Registrable,620847,13,3,1,5,1,0,8,1,1,0,32300319,32173413,Down
Apartment,15,Residence,Documented,623105,4,4,0,9,1,0,2,1,1,1,32029223,31935972,Down
Empty Land,0,Non-Residence,Documented,725995,5,4,1,6,0,1,8,0,1,1,37212150,37114624,Down
Empty Land,0,Residence,Documented,297690,11,2,1,9,0,0,1,1,0,0,15819283,15740341,Down
Flat,8,Residence,Documented,440780,8,1,1,8,0,0,4,0,1,1,22977748,22882731,Down
Farm House,0,Non-Residence,Registrable,101959,3,1,0,3,1,0,3,0,1,1,5589150,5478595,Down
Villa,0,Residence,Registrable,200922,5,8,1,9,0,0,5,1,1,1,11040425,10958216,Down
Flat,6,Non-Residence,Documented,102020,3,2,1,2,0,1,5,0,1,1,5791348,5701983,Down
House,3,Residence,Documented,586060,12,5,1,7,0,1,5,1,1,1,30473809,30422402,Down
Empty Land,0,Residence,Documented,748012,10,4,1,0,0,1,4,0,1,1,38348839,38234758,Down
Villa,0,Residence,Documented,516623,3,8,1,8,1,1,8,0,1,1,26899411,26823435,Down
Flat,12,Residence,Registrable,330293,3,2,0,0,1,0,3,0,1,0,17098088,17006119,Down
Building,12,Non-Residence,Documented,327318,13,9,0,1,1,1,4,1,0,0,17644801,17556476,Down
House,1,Non-Residence,Documented,145332,12,7,1,7,0,1,1,1,0,1,8447249,8340508,Down
Flat,24,Non-Residence,Registrable,153499,7,7,1,8,0,0,7,0,0,0,8945734,8880219,Down
Building,10,Non-Residence,Documented,349119,7,1,0,6,0,0,1,1,1,1,18214355,18128181,Down
Villa,0,Non-Residence,Registrable,61867,7,2,1,2,1,0,2,1,0,1,3900901,3773571,Down
Villa,0,Residence,Registrable,406304,10,4,0,6,1,1,7,0,0,0,21258615,21202915,Down
House,2,Residence,Registrable,236306,8,4,1,5,1,0,1,1,0,1,12777361,12653698,Down
Building,17,Non-Residence,Documented,708093,5,3,1,1,1,0,3,1,0,1,36320401,36217022,Down
Empty Land,0,Residence,Registrable,45238,5,7,0,2,1,0,6,1,0,0,3024615,2947224,Down
Apartment,18,Non-Residence,Documented,558185,14,8,1,9,0,1,6,0,1,0,29494864,29368588,Down
Apartment,16,Residence,Documented,344833,4,2,0,9,1,1,6,0,0,0,18146118,18029037,Down
Villa,0,Non-Residence,Registrable,339011,7,4,0,4,1,1,2,1,1,0,17838485,17699258,Down
Farm House,0,Residence,Registrable,202832,10,3,0,9,1,1,2,0,1,0,11115059,11007775,Down
Empty Land,0,Residence,Registrable,383229,4,2,1,3,0,1,6,1,0,0,19884299,19752245,Down
Empty Land,0,Non-Residence,Documented,111953,2,6,0,1,1,1,10,0,1,1,6332285,6220079,Down
Apartment,4,Residence,Documented,20316,4,4,0,3,1,1,5,1,0,0,1817495,1673905,Down
Flat,18,Non-Residence,Registrable,417215,13,6,1,7,1,0,7,0,1,0,22328144,22199551,Down
Flat,3,Residence,Documented,371500,13,2,1,4,0,0,7,1,1,1,19671898,19562413,Down
Villa,0,Non-Residence,Registrable,214067,8,4,1,4,0,0,5,0,0,1,11602554,11481015,Down
Empty Land,0,Residence,Documented,515433,9,6,1,9,1,1,8,1,1,0,27022074,26938042,Down
Flat,16,Non-Residence,Documented,596423,3,5,1,2,1,1,10,0,1,1,30860942,30792786,Down
Building,14,Residence,Documented,216684,7,3,1,7,1,0,6,0,1,1,11906703,11807387,Down
Building,9,Residence,Documented,298590,14,8,0,5,1,0,5,0,1,1,16283276,16184489,Down
Building,6,Non-Residence,Registrable,317848,12,7,1,1,0,1,4,1,1,1,17106283,16963184,Down
Building,4,Non-Residence,Registrable,183458,14,3,0,1,1,1,7,1,1,1,10293933,10202354,Down
Empty Land,0,Non-Residence,Registrable,278207,9,6,1,8,0,1,4,1,1,1,15006729,14899155,Down
Building,2,Non-Residence,Documented,92824,11,4,0,6,1,1,5,0,1,1,5735176,5612915,Down
Empty Land,0,Residence,Documented,224036,4,5,0,9,0,1,5,1,0,0,12047429,11910211,Down
Apartment,23,Residence,Registrable,272491,10,5,1,8,0,1,1,0,1,1,14969999,14826736,Down
Villa,0,Residence,Registrable,26655,3,7,1,5,1,1,1,0,0,0,2190096,2080861,Down
Villa,0,Residence,Registrable,342315,5,5,0,4,0,1,3,0,0,1,17816747,17713843,Down
Building,10,Residence,Documented,641679,1,3,1,0,1,0,3,1,1,1,32800296,32668575,Down
Building,11,Non-Residence,Registrable,460994,3,5,1,5,0,1,2,0,1,0,23931430,23844690,Down
Building,7,Non-Residence,Registrable,149881,8,7,0,5,0,1,2,1,0,1,8474654,8351524,Down
Villa,0,Non-Residence,Registrable,132191,11,5,0,2,1,1,6,1,0,1,7592258,7492704,Down
Flat,26,Non-Residence,Registrable,476910,8,5,0,2,1,0,1,0,0,0,24809763,24752564,Down
Villa,0,Non-Residence,Registrable,443824,13,9,1,2,0,0,6,1,1,1,23478654,23389622,Down
Building,5,Residence,Registrable,35207,4,3,1,2,0,1,5,0,1,1,2552634,2409748,Down
Flat,26,Residence,Registrable,518977,2,6,1,6,1,0,6,0,1,0,27064129,26932719,Down
Flat,4,Non-Residence,Registrable,722364,13,1,1,9,1,0,5,1,0,0,37237326,37182846,Down
House,2,Non-Residence,Registrable,703474,8,5,0,1,1,0,7,0,1,1,36053806,35973371,Down
Apartment,6,Non-Residence,Documented,747288,8,8,1,9,0,1,1,0,1,0,38509227,38429107,Down
Empty Land,0,Residence,Registrable,353799,10,5,0,9,1,1,3,0,1,1,18767496,18645341,Down
Apartment,28,Non-Residence,Registrable,158992,4,9,1,1,1,1,6,1,1,1,9116029,9063422,Down
Building,2,Non-Residence,Registrable,474612,3,6,1,2,0,1,1,1,0,0,24458390,24333472,Down
Empty Land,0,Non-Residence,Documented,170602,2,8,0,9,1,1,7,1,1,0,9496751,9372635,Down
House,2,Residence,Documented,394774,9,8,1,6,1,1,4,0,1,0,20989072,20853748,Down
Empty Land,0,Non-Residence,Registrable,217785,1,3,1,2,1,1,3,0,0,0,11435616,11363590,Down
Building,16,Residence,Documented,338904,7,7,0,6,1,0,10,1,1,1,18148978,18081805,Down
House,1,Non-Residence,Documented,159976,5,7,1,8,0,1,9,1,0,0,9047118,8908302,Down
Empty Land,0,Non-Residence,Registrable,161428,8,6,0,9,1,1,1,1,0,0,9088434,9004172,Down
Villa,0,Residence,Documented,665060,4,7,0,3,1,1,8,1,1,1,34117923,34016020,Down
Flat,23,Residence,Documented,296641,7,2,0,6,1,1,1,1,0,1,15878749,15781593,Down
Apartment,23,Non-Residence,Registrable,644061,13,9,0,8,1,1,5,0,1,1,33756267,33634021,Down
House,1,Non-Residence,Registrable,697095,5,1,1,7,1,1,10,1,0,1,35847250,35698126,Down
Villa,0,Residence,Documented,249000,14,1,1,7,1,1,8,0,0,1,13678801,13551037,Down
Building,7,Residence,Registrable,690917,5,3,1,8,0,1,6,0,1,1,35523458,35411157,Down
Flat,25,Non-Residence,Registrable,132811,14,3,0,4,0,0,7,0,0,1,7959502,7817911,Down
Apartment,26,Residence,Registrable,246046,9,1,1,4,0,0,8,0,1,1,13456080,13341766,Down
House,1,Residence,Documented,197233,9,7,1,2,1,1,6,1,1,1,11082638,10935950,Down
Flat,25,Non-Residence,Registrable,651733,13,4,1,4,1,1,6,0,1,0,34053218,33982769,Down
Farm House,0,Non-Residence,Documented,570060,9,2,1,7,1,0,6,1,1,0,29525869,29382627,Down
Farm House,0,Non-Residence,Documented,146970,12,5,0,4,0,1,5,0,0,1,8330559,8250093,Down
House,1,Residence,Registrable,644818,6,6,0,3,1,1,8,1,1,0,33190718,33052597,Down
House,1,Non-Residence,Documented,319147,6,9,1,7,0,0,2,1,0,1,16982249,16907970,Down
Empty Land,0,Non-Residence,Registrable,7070,5,4,0,6,1,1,7,0,1,1,1138486,1076649,Down
Flat,15,Residence,Registrable,331429,9,2,1,5,1,1,4,1,0,1,17647396,17573187,Down
Farm House,0,Non-Residence,Registrable,533898,10,5,1,4,0,1,1,0,0,1,27664974,27602754,Down
Apartment,28,Residence,Registrable,499615,8,3,1,4,0,0,5,1,0,0,26085202,26031237,Down
Farm House,0,Residence,Registrable,79641,7,2,0,9,0,0,3,0,0,0,4714640,4622364,Down
Flat,3,Non-Residence,Documented,12615,7,1,1,1,0,1,4,0,1,1,1368267,1291037,Down
Farm House,0,Non-Residence,Documented,39562,6,2,0,3,0,0,7,1,1,0,2682716,2543551,Down
Apartment,23,Residence,Registrable,628849,5,6,0,7,0,0,5,1,0,0,32490333,32398413,Down
Villa,0,Non-Residence,Documented,295200,13,8,1,7,1,0,4,0,0,1,16087536,15972371,Down
Farm House,0,Residence,Documented,390979,4,3,0,0,0,1,1,0,1,1,20055124,19943580,Down
Farm House,0,Residence,Documented,526757,3,9,0,1,1,0,6,1,0,0,27142492,26999086,Down
Building,4,Non-Residence,Documented,398186,3,9,1,4,1,0,10,0,0,0,20935876,20802967,Down
Villa,0,Non-Residence,Registrable,122363,6,2,0,8,1,0,6,0,1,1,7030055,6885364,Down
Empty Land,0,Residence,Registrable,501576,4,8,0,9,1,1,7,0,0,1,26082909,25933899,Down
House,3,Residence,Registrable,647796,12,5,1,6,1,0,1,1,0,0,33565006,33491970,Down
Apartment,18,Non-Residence,Documented,501226,12,4,1,9,0,0,4,0,1,1,26454004,26338682,Down
Farm House,0,Residence,Documented,679056,6,5,0,4,0,1,9,0,0,1,34791068,34736221,Down
Apartment,28,Residence,Registrable,630611,3,4,1,0,0,0,10,1,1,1,32599404,32463154,Down
Empty Land,0,Residence,Registrable,635465,4,8,1,5,1,0,6,0,1,0,32756657,32655885,Down
Empty Land,0,Non-Residence,Documented,48820,9,4,0,7,0,0,2,0,1,0,3251991,3189098,Down
Villa,0,Residence,Registrable,497258,5,6,0,6,1,1,4,0,1,1,25660422,25605773,Down
Apartment,3,Residence,Documented,147149,13,2,1,1,1,1,6,0,0,0,8411579,8331008,Down
House,3,Non-Residence,Registrable,125854,7,5,0,4,1,0,4,1,1,1,7149436,7087823,Down
Building,8,Residence,Registrable,612797,10,6,1,3,1,0,10,0,1,0,31854201,31750368,Down
Empty Land,0,Residence,Documented,449125,2,5,1,8,0,0,7,0,0,0,23266436,23154013,Down
Building,11,Non-Residence,Registrable,29125,14,2,0,9,0,0,3,0,1,0,2685930,2545966,Down
House,1,Non-Residence,Registrable,736900,14,7,0,0,0,0,6,0,0,1,37930554,37839172,Down
House,2,Non-Residence,Registrable,286733,5,4,1,5,0,0,4,0,1,1,15196129,15093781,Down
Villa,0,Non-Residence,Registrable,36987,9,8,1,2,0,1,3,1,1,1,2976695,2838626,Down
Apartment,26,Non-Residence,Registrable,459554,11,7,1,8,1,0,3,1,1,0,24509663,24405958,Down
Flat,9,Residence,Registrable,228571,3,7,1,4,0,0,2,0,1,1,12262942,12137300,Down
Apartment,20,Residence,Documented,488511,14,9,0,5,1,0,3,0,0,1,25875280,25727431,Down
Farm House,0,Non-Residence,Documented,312782,9,1,1,8,1,1,10,1,0,1,16749636,16613706,Down
Villa,0,Residence,Documented,174395,14,6,0,8,1,0,1,1,0,1,9904382,9776569,Down
Apartment,12,Non-Residence,Documented,430924,11,6,0,7,0,1,3,1,1,0,22769030,22663213,Down
Building,5,Residence,Documented,316705,6,6,1,8,1,0,9,0,1,1,16984989,16854005,Down
Apartment,1,Residence,Registrable,101876,4,6,0,3,1,0,4,0,1,1,5843280,5714611,Down
Villa,0,Residence,Registrable,425606,7,7,0,5,0,0,3,0,0,0,22117564,22023422,Down
House,2,Non-Residence,Documented,282152,8,6,1,4,1,0,8,0,1,1,15210479,15090297,Down
Empty Land,0,Non-Residence,Registrable,472632,6,1,0,4,1,0,1,0,0,0,24221504,24157796,Down
Farm House,0,Non-Residence,Registrable,158556,5,3,0,3,1,0,5,0,0,0,8527234,8471144,Down
Farm House,0,Residence,Registrable,634957,6,2,1,1,0,1,1,1,0,0,32396408,32293506,Down
Flat,25,Non-Residence,Registrable,560847,5,6,1,5,1,0,7,1,1,1,29280902,29138732,Down
House,1,Residence,Registrable,463285,8,8,1,8,1,0,5,0,1,0,24352038,24210281,Down
Farm House,0,Residence,Documented,628197,1,3,1,0,0,0,2,0,1,0,31932127,31801199,Down
Farm House,0,Non-Residence,Documented,500153,11,8,1,6,0,1,1,0,1,0,26166976,26073224,Down
Empty Land,0,Residence,Registrable,530492,7,8,1,5,1,0,7,1,0,1,27611503,27541860,Down
Building,3,Residence,Documented,729244,10,5,1,2,0,1,1,1,0,0,37434376,37344729,Down
Building,15,Residence,Documented,742988,10,8,0,0,0,0,3,1,1,0,38170976,38055894,Down
Building,10,Non-Residence,Documented,636067,11,6,0,3,0,0,6,1,1,0,32892042,32761713,Down
Villa,0,Non-Residence,Documented,683068,2,5,1,8,0,1,6,0,1,1,35007542,34860212,Down
Building,10,Non-Residence,Registrable,643304,14,9,0,1,0,1,7,1,0,0,33453611,33330637,Down
Building,3,Residence,Documented,523328,9,7,0,2,0,0,1,1,1,0,27121891,26987460,Down
Villa,0,Residence,Registrable,478866,1,8,1,1,0,1,7,0,0,1,24618934,24550460,Down
Empty Land,0,Non-Residence,Documented,721884,11,1,0,1,1,1,2,0,0,1,36887945,36800543,Down
House,1,Residence,Documented,419639,10,2,1,9,0,0,6,0,0,1,22043030,21910543,Down
Farm House,0,Non-Residence,Registrable,520277,6,8,0,7,0,0,8,1,0,0,26880638,26814134,Down
Flat,6,Non-Residence,Registrable,376688,9,9,1,2,0,0,5,0,0,0,19894251,19837483,Down
Farm House,0,Non-Residence,Documented,233049,1,4,0,6,1,1,10,1,0,0,12384344,12260301,Down
Building,5,Non-Residence,Documented,553953,4,9,0,7,0,0,3,1,0,0,28588374,28443028,Down
Building,19,Residence,Registrable,591991,4,4,0,2,0,0,8,1,1,1,30373661,30323041,Down
Apartment,14,Residence,Documented,485465,9,9,1,1,1,1,8,1,1,0,25569197,25498750,Down
Farm House,0,Residence,Registrable,36821,11,7,0,7,0,1,4,0,1,1,3011243,2862486,Down
Farm House,0,Non-Residence,Registrable,335941,5,2,0,2,1,0,8,0,0,0,17387627,17318509,Down
Apartment,17,Residence,Registrable,245514,5,9,1,6,1,1,5,1,0,0,13476431,13364380,Down
Building,12,Non-Residence,Documented,156998,6,4,1,0,0,1,5,0,1,0,8710804,8614205,Down
Villa,0,Non-Residence,Registrable,18272,1,8,0,5,1,1,3,1,0,1,1645395,1528901,Down
Villa,0,Non-Residence,Registrable,395083,1,7,0,8,0,0,7,1,0,1,20437042,20376842,Down
Villa,0,Residence,Documented,238889,9,7,0,2,0,0,9,0,0,1,12938651,12793797,Down
Flat,9,Non-Residence,Registrable,639930,3,8,0,6,1,0,9,0,0,1,32982755,32833689,Down
House,2,Residence,Documented,616524,4,1,1,5,1,1,1,1,0,0,31507499,31398795,Down
Building,3,Residence,Documented,52424,1,5,0,7,0,0,1,0,0,0,3233835,3130348,Down
Empty Land,0,Residence,Registrable,528514,9,2,0,2,0,0,10,1,0,0,27256535,27160070,Down
Farm House,0,Residence,Documented,351796,8,2,1,2,1,1,5,0,0,0,18396561,18316721,Down
Farm House,0,Residence,Documented,28223,2,1,0,3,0,1,1,1,0,0,1826977,1688537,Down
Building,18,Residence,Documented,664968,8,5,0,2,0,0,4,1,0,1,34218101,34149666,Down
Building,4,Residence,Registrable,209286,7,2,0,8,0,1,1,0,0,1,11292563,11194666,Down
Building,14,Residence,Registrable,560431,11,4,1,3,1,0,2,0,0,0,29163982,29016375,Down
Farm House,0,Non-Residence,Registrable,687184,6,3,1,5,0,0,2,1,1,0,35108358,34994482,Down
Apartment,24,Non-Residence,Documented,214932,1,3,0,7,0,0,4,0,0,0,11520196,11380469,Down
Building,6,Residence,Registrable,140499,7,2,0,7,0,1,8,0,0,0,7879813,7780401,Down
Farm House,0,Residence,Registrable,359190,10,6,1,4,1,1,2,1,1,1,19135190,19012908,Down
House,2,Residence,Documented,80473,7,2,0,4,1,0,9,1,1,0,4815039,4736555,Down
Empty Land,0,Residence,Registrable,634622,13,8,0,5,1,0,9,0,1,0,33024413,32935755,Down
Villa,0,Residence,Documented,453949,14,8,1,9,0,0,2,0,0,0,23916201,23860148,Down
Apartment,15,Non-Residence,Registrable,288181,9,5,1,6,1,0,1,1,0,0,15583630,15434046,Down
Empty Land,0,Residence,Documented,495009,1,7,1,9,0,1,10,1,1,1,25694397,25562342,Down
Building,17,Residence,Documented,632310,2,4,0,6,1,0,10,1,1,0,32528819,32423568,Down
Empty Land,0,Residence,Documented,547400,11,1,0,3,0,0,9,1,1,1,28282371,28191726,Down
Building,5,Non-Residence,Documented,225549,9,2,0,5,1,1,2,1,0,1,12163697,12111152,Down
Empty Land,0,Non-Residence,Registrable,269115,13,4,0,6,0,0,8,1,0,0,14555422,14425439,Down
Flat,29,Residence,Documented,167203,9,1,1,4,0,0,3,1,1,0,9512249,9366754,Down
Empty Land,0,Non-Residence,Documented,747919,13,8,0,4,1,0,1,1,0,0,38557620,38430407,Down
Villa,0,Non-Residence,Documented,31848,6,9,0,1,0,0,1,0,0,0,2340487,2281927,Down
Villa,0,Non-Residence,Documented,196304,6,4,1,6,1,0,10,0,1,0,10784818,10672443,Down
Apartment,6,Non-Residence,Documented,136332,4,3,1,5,1,1,2,0,1,1,7609049,7555387,Down
Empty Land,0,Non-Residence,Documented,295423,4,2,0,0,0,1,7,1,1,1,15374056,15245465,Down
Farm House,0,Non-Residence,Registrable,284280,5,5,1,3,0,1,6,0,0,1,15030532,14941035,Down
Farm House,0,Non-Residence,Documented,606677,3,3,1,2,1,1,2,1,0,1,31006300,30903694,Down
Farm House,0,Non-Residence,Registrable,54051,1,7,0,2,1,0,4,0,0,1,3296482,3184370,Down
Empty Land,0,Residence,Documented,405272,1,6,0,6,1,1,2,1,0,0,20989939,20861605,Down
Farm House,0,Residence,Documented,667423,12,1,0,9,0,1,1,1,0,0,34333170,34212826,Down
House,1,Non-Residence,Registrable,571607,13,8,0,3,1,1,3,0,1,1,29718312,29660264,Down
Empty Land,0,Non-Residence,Documented,336414,7,2,1,7,0,1,4,1,0,0,17680078,17551435,Down
Villa,0,Residence,Documented,420682,1,5,1,8,0,1,10,0,0,0,21843370,21786850,Down
Apartment,26,Residence,Registrable,213281,1,9,0,2,1,1,5,0,1,1,11594946,11528018,Down
Farm House,0,Non-Residence,Registrable,453605,3,8,0,4,1,1,5,0,1,1,23500242,23394874,Down
Flat,5,Residence,Registrable,682847,10,2,1,3,0,1,7,0,1,1,35151597,35078096,Down
Farm House,0,Non-Residence,Registrable,714208,4,9,0,9,0,0,10,0,1,0,36704415,36600664,Down
Villa,0,Residence,Documented,549384,4,5,0,5,0,1,8,0,0,1,28216888,28130697,Down
House,3,Non-Residence,Registrable,59682,2,6,0,9,0,0,9,0,0,1,3740817,3661341,Down
Empty Land,0,Residence,Registrable,349807,1,3,0,3,1,1,7,0,1,0,18085294,18008346,Down
Farm House,0,Non-Residence,Registrable,301954,3,3,1,7,0,1,5,0,0,0,15833191,15778708,Down
Flat,14,Residence,Documented,318732,11,8,0,2,1,1,9,1,1,1,17264362,17158239,Down
Apartment,4,Residence,Registrable,653591,4,2,1,4,1,0,8,1,0,0,33456494,33366607,Down
Villa,0,Non-Residence,Documented,140478,3,2,0,0,1,0,10,0,0,1,7651617,7518600,Down
Apartment,5,Non-Residence,Documented,570167,8,5,0,5,0,1,9,1,0,0,29494036,29367782,Down
Apartment,11,Residence,Documented,472328,14,6,1,4,0,0,10,1,1,1,25073797,24942888,Down
Flat,27,Residence,Documented,259017,10,2,0,7,1,1,8,0,1,0,14318829,14180049,Down
Building,2,Non-Residence,Registrable,440597,1,5,1,8,1,0,6,0,0,0,22819858,22708803,Down
Villa,0,Residence,Registrable,309057,14,7,0,7,1,0,4,1,0,0,16758848,16615683,Down
Building,2,Residence,Documented,137584,2,8,0,7,1,0,9,0,1,1,7772689,7691432,Down
Flat,20,Residence,Registrable,705975,13,7,0,2,0,1,9,0,1,1,36606424,36538097,Down
Empty Land,0,Residence,Registrable,582504,7,8,0,3,1,0,10,0,0,1,30112753,29991449,Down
Empty Land,0,Residence,Registrable,748513,4,9,0,3,0,0,10,1,0,0,38253974,38179108,Down
Empty Land,0,Non-Residence,Registrable,692238,8,5,1,4,0,1,9,0,1,0,35666742,35572093,Down
Apartment,12,Residence,Documented,698512,11,5,1,8,0,0,10,1,0,0,36253262,36194096,Down
Building,16,Residence,Registrable,204002,13,4,0,8,0,1,3,0,1,1,11504047,11357768,Down
Apartment,17,Non-Residence,Registrable,145039,3,9,0,9,1,1,3,0,1,0,8392726,8260392,Down
Empty Land,0,Non-Residence,Documented,424726,6,5,1,0,0,0,6,1,0,1,21953144,21894102,Down
Apartment,4,Non-Residence,Registrable,522363,9,2,1,7,1,1,6,0,0,1,27133152,27071183,Down
House,2,Non-Residence,Registrable,122499,1,8,0,0,0,0,6,1,0,1,6726918,6625038,Down
Villa,0,Non-Residence,Registrable,115293,1,7,0,1,1,0,5,1,1,1,6384916,6262177,Down
Villa,0,Residence,Documented,457873,8,8,1,6,1,1,5,0,1,1,24029202,23915614,Down
Apartment,7,Residence,Registrable,370821,3,3,0,7,1,0,2,0,1,0,19196696,19142055,Down
Flat,15,Residence,Registrable,12789,5,4,1,0,1,0,7,1,0,0,1588220,1509684,Down
Farm House,0,Non-Residence,Documented,700836,1,5,0,2,1,1,4,1,0,0,35606116,35476206,Down
Building,16,Non-Residence,Registrable,699456,5,6,1,6,0,1,3,0,1,0,35984107,35919561,Down
Villa,0,Non-Residence,Documented,257868,11,1,1,8,1,0,8,0,1,0,14012040,13947938,Down
Apartment,8,Residence,Documented,86865,6,4,0,7,0,1,4,0,0,0,5306363,5157468,Down
Building,2,Residence,Documented,175711,8,5,1,7,1,1,4,0,1,1,9941950,9792897,Down
Flat,19,Residence,Registrable,180285,13,7,0,8,0,1,8,0,0,0,10426406,10367377,Down
Empty Land,0,Residence,Registrable,73088,14,5,0,9,0,1,1,1,0,1,4765064,4667519,Down
Farm House,0,Residence,Registrable,64146,3,1,0,2,0,0,9,1,1,1,3737557,3676235,Down
Flat,1,Residence,Registrable,266298,3,7,0,7,1,0,7,1,1,1,14155881,14093227,Down
House,3,Non-Residence,Registrable,482738,12,8,1,0,0,1,2,1,1,1,25291312,25184649,Down
Empty Land,0,Residence,Documented,745885,11,7,0,7,1,0,6,0,1,1,38483845,38358344,Down
Empty Land,0,Residence,Documented,730032,11,4,0,6,1,1,8,1,1,0,37648696,37539009,Down
Empty Land,0,Residence,Documented,120235,10,8,0,7,0,1,5,0,0,0,7086743,7029235,Down
Flat,23,Residence,Documented,156183,9,5,0,0,0,0,6,0,1,0,8804660,8706801,Down
House,3,Residence,Registrable,632759,4,9,1,5,1,0,10,0,0,1,32661978,32589846,Down
Farm House,0,Non-Residence,Documented,536937,4,5,0,6,1,0,8,0,1,0,27719846,27604046,Down
Building,11,Residence,Documented,362746,12,1,1,4,1,0,6,0,1,0,19213695,19147670,Down
Flat,10,Residence,Registrable,321833,7,9,1,4,1,1,9,1,1,1,17393226,17266202,Down
Villa,0,Non-Residence,Documented,567456,2,5,1,6,1,1,9,0,1,1,29235501,29119577,Down
Villa,0,Non-Residence,Registrable,407389,8,6,0,2,1,0,9,0,1,0,21272170,21154563,Down
Flat,18,Residence,Registrable,612992,6,4,0,5,0,1,6,0,1,1,31560101,31485131,Down
Building,1,Residence,Registrable,212330,3,6,0,6,1,0,9,1,0,1,11413950,11316214,Down
Villa,0,Residence,Documented,197001,9,8,0,0,1,0,3,0,1,1,10753450,10623460,Down
Building,17,Residence,Documented,417385,5,3,1,1,0,0,5,0,1,0,21716862,21659022,Down
Empty Land,0,Residence,Documented,165640,8,5,1,3,0,1,2,0,1,1,9151262,9071608,Down
Flat,16,Non-Residence,Documented,744649,7,2,0,7,0,1,8,1,1,1,38243159,38115774,Down
Empty Land,0,Non-Residence,Documented,141007,14,2,0,9,1,0,4,0,0,1,8204453,8102045,Down
Villa,0,Residence,Documented,225660,8,7,0,5,0,0,6,1,0,1,12248433,12112494,Down
Building,12,Residence,Registrable,183821,7,6,0,0,0,0,6,1,0,1,10116239,9990272,Down
Empty Land,0,Non-Residence,Registrable,562172,3,4,0,9,1,0,5,0,0,0,28817027,28744585,Down
Villa,0,Non-Residence,Documented,522498,2,5,0,4,1,1,1,1,0,0,26802786,26687543,Down
Apartment,28,Residence,Documented,606717,7,1,0,6,1,1,7,1,0,1,31397896,31341266,Down
House,2,Residence,Registrable,600941,3,7,1,5,1,0,10,0,1,1,31067157,30969421,Down
Empty Land,0,Residence,Registrable,75888,3,8,1,8,0,0,8,0,1,0,4703008,4640000,Down
House,2,Residence,Registrable,556189,2,9,1,7,1,1,1,0,0,0,28671390,28573903,Down
House,1,Residence,Documented,519227,4,8,1,3,0,0,10,0,1,1,26902666,26784271,Down
Farm House,0,Residence,Documented,727691,8,5,0,4,1,1,7,1,1,1,37323412,37271019,Down
Villa,0,Non-Residence,Documented,644291,12,3,0,6,0,1,4,1,1,0,33305774,33161094,Down
Flat,17,Non-Residence,Registrable,233101,1,9,0,7,1,0,6,0,1,1,12662607,12556636,Down
Building,3,Non-Residence,Documented,128334,1,6,0,4,1,1,9,0,1,1,7191719,7062092,Down
Apartment,28,Non-Residence,Documented,34584,12,5,0,8,1,1,5,0,0,0,3174368,3036377,Down
Villa,0,Residence,Documented,251959,14,3,1,9,0,1,8,1,0,0,13911789,13793132,Down
Farm House,0,Non-Residence,Documented,635429,5,6,0,3,0,1,5,0,0,0,32549183,32424531,Down
Farm House,0,Non-Residence,Documented,105611,11,3,1,3,0,0,2,1,0,0,6269444,6148937,Down
